ticker,date,price,price_after_fees
K55363C09479,2024-05-31,1035.3,970.0
K55363C09479,2024-07-31,1018.3,949.6
K55363C09479,2024-09-30,982.5,910.7
K55363C09479,2024-10-31,977.9,906.1
K55363C09479,2024-12-31,947.0,872.3
K55363C09479,2025-01-31,1079.0,1004.3
K55363C09479,2025-02-28,1115.3,1040.6
K55363C09479,2025-03-31,1024.6,946.7
K55368DH8312,2021-04-30,971.9,970.1
K55368DH8312,2021-05-31,971.0,969.2
K55368DH8312,2021-06-30,973.8,972.0
K55368DH8312,2021-08-31,980.1,976.5
K55368DH8312,2021-09-30,976.8,973.2
K55368DH8312,2021-11-30,974.0,968.6
K55368DH8312,2021-12-31,978.6,973.2
K55368DH8312,2022-02-28,975.2,967.9
K55368DH8312,2022-03-31,988.8,981.5
K55368DH8312,2022-05-31,979.9,970.8
K55368DH8312,2022-06-30,946.8,937.7
K55368DH8312,2022-08-31,972.3,961.4
K55368DH8312,2022-09-30,966.3,955.4
K55368DH8312,2022-10-31,970.8,958.1
K55368DH8312,2022-11-30,977.7,965.0
K55368DH8312,2023-01-31,987.2,972.7
K55368DH8312,2023-02-28,988.0,973.5
K55368DH8312,2023-03-31,992.3,977.8
K55368DH8312,2023-05-31,996.6,980.2
K55368DH8312,2023-06-30,999.6,983.2
K55368DH8312,2023-07-31,1002.4,984.2
K55368DH8312,2023-08-31,1008.7,990.5
K55368DH8312,2023-10-31,1015.0,994.9
K55368DH8312,2023-11-30,1025.2,1005.1
K55368DH8312,2024-01-31,1047.6,1025.5
K55368DH8312,2024-02-29,1055.0,1032.9
K55368DH8312,2024-04-30,1060.2,1036.2
K55368DH8312,2024-05-31,1072.2,1048.2
K55368DH8312,2024-07-31,1075.8,1049.8
K55368DH8312,2024-09-30,1079.3,1053.3
K55368DH8312,2024-10-31,1083.1,1055.1
K55368DH8312,2024-12-31,1085.0,1057.0
K55368DH8312,2025-01-31,1090.3,1060.2
K55368DH8312,2025-02-28,1098.1,1068.0
K55368DH8312,2025-03-31,1098.5,1068.4
KR5101717738,2007-07-31,481.9,480.7
KR5101717738,2007-08-31,459.0,457.8
KR5101717738,2007-10-31,467.2,464.8
KR5101717738,2007-11-30,434.6,432.2
KR5101717738,2007-12-31,443.1,440.7
KR5101717738,2008-01-31,393.9,390.6
KR5101717738,2008-02-29,413.2,409.9
KR5101717738,2008-03-31,399.3,396.0
KR5101717738,2008-04-30,415.9,411.5
KR5101717738,2008-06-30,406.1,401.7
KR5101717738,2008-07-31,377.0,371.7
KR5101717738,2008-09-30,347.6,342.3
KR5101717738,2008-10-31,269.9,263.9
KR5101717738,2008-12-31,295.0,289.0
KR5101717738,2009-03-31,310.7,303.9
KR5101717738,2009-04-30,344.0,336.4
KR5101717738,2009-06-30,367.8,360.2
KR5101717738,2009-07-31,402.8,394.2
KR5101717738,2009-08-31,422.1,413.5
KR5101717738,2009-09-30,441.4,432.8
KR5101717738,2009-11-30,405.1,395.4
KR5101717738,2009-12-31,446.9,437.2
KR5101717738,2010-03-31,453.1,442.3
KR5101717738,2010-04-30,476.2,464.3
KR5101717738,2010-05-31,465.4,453.5
KR5101717738,2010-06-30,487.1,475.2
KR5101717738,2010-08-31,490.3,477.1
KR5101717738,2010-09-30,530.4,517.2
KR5101717738,2010-11-30,534.3,519.7
KR5101717738,2010-12-31,569.0,554.4
KR5101717738,2011-01-31,623.5,607.4
KR5101717738,2011-02-28,595.9,579.8
KR5101717738,2011-03-31,636.8,620.7
KR5101717738,2011-05-31,663.1,645.2
KR5101717738,2011-06-30,662.1,644.2
KR5101717738,2011-08-31,634.2,614.5
KR5101717738,2011-09-30,606.5,586.8
